Annotation,Explanation
"In the halls of your hotel
 Arm around my shoulder so I could tell
 How much I meant to you, meant it sincere back then
 We had time to kill back then","If this song is about Frank and another man, it’s significant because it’s a public display of affection between two young, closeted people.
Frank’s lover’s willingness to put their relationship on display, would have felt like a deep expression of love and faith.

These lines tie in well with the reflective nature of this sing, and shows that their relationship was temporary – a rush of love, great memories made, and beautiful new feelings ultimately faded with age. He and the other person matured in their own ways, now simply viewing it all as “good times”. His time with them is like the time one spends in a hotel during vacation. It’s a temporary trip away from your normal life, often because you’re visiting a foreign environment, experiencing what that new place has to offer."
"I broke your heart last week
 You’ll probably feel better by the weekend
 Still remember, had you going crazy
 Screamin’ my name, the feeling deep down is good","Frank notes how quickly (two weeks) the song’s subject is able to recover from a heartbreak.

While the sexual feeling was intense, the subject’s feelings turned out to be superficial, seeing as they were able to quickly shed the attachment and get over Frank. This may symbolize how fast a relationship can grow and self-destruct: what was once seen as a perfect moment is nothing more than just a memory now. Frank’s partner can only move on with life because that’s all they can do."
"You ain’t a kid no more, we’ll never be those kids again
 It’s not the same, ivory’s illegal, don’t you remember?","Frank and the person he’s singing about have grown up and grew apart. While they’ll “never be those kids again,” Frank keeps that memory as a piece of their relationship.

Ivory, a hard, white material obtained from elephant tusks was banned in 1989 due to the rapidly decreasing elephant population, but before that, was used to make luxury drug accessories. Ivory is also slang for cocaine, Frank may be saying that their love affair involved some long nights on cocaine, and have become more aware of the legal repercussions of it as they grew older. He’s essentially saying that their love was a product of their reckless youth and was heightened by drugs, but now that they’ve grown up it will forever remain just a perfect memory.



Ivory also has an off-white color, which may be referring to a tainted innocence since white has a positive connotation of purity and cleanliness.

The use of the term, “ivory” is most likely an intentional use of wordplay that ties the song together. The ivy plant is an invasive species, while ivory is something precious. This could show the duality of the relationship and how it went from something precious to something toxic or invasive like ivy."
"All the things I didn’t mean to say, I didn’t mean to do
 There were things you didn’t need to say, did you mean to? Mean to?
 I’ve been dreamin’ of you, dreamin’ of you
 I’ve been dreamin’ of you, dreamin’ of you
 I’ve been dreamin’, dreamin’","Frank is overcome with emotion and regret about what happened between him and his former lover. It’s possible that this monologue has taken place while Frank is lying in bed, half-asleep and dreaming of this old lover, fitting with the gauze of the shoe-gaze guitars that are draped over the song.

As Frank becomes angered and begins to scream, his voice becomes altered by the grain delay. The scream, delivered almost as a crescendo, is a culmination of emotions and represents Frank’s deep longing and heartache. By the end of the song, he expresses his frustration physically and breaks the other objects around him."
"I thought that I was dreamin’ when you said you love me
 The start of nothin’
 I had no chance to prepare, I couldn’t see you comin’
 The start of nothin’
 Ooh, I could hate you now
 It’s quite alright to hate me now
 When we both know that deep down
 The feeling still deep down is good","Frank describes the beginning of a now failed relationship. In this reflective line, the words “the start of nothing” point to the relationship being doomed from the start – although he was blissfully unaware at the beginning. Overtime, both parties ended up hurting each other and as a result, Frank believes he can hate them for changing the good friendship that they once had into something he wasn’t ready for.

Furthermore, he could mean by having “no time to prepare” that he wanted to be a better version of himself before the relationship started. But because they jumped into this unexpected love affair, perhaps he still had internal issues he was dealing with, and ended up hurting the other person as a result.

“The start of nothing” also sounds similar to “it started from nothing”. This re-enforces that he was overwhelmed when his partner told him they loved him—he wasn’t emotionally prepared. Perhaps, this relationship blossomed from a long time friendship, and here the friend tells him that they intimately love him. The relationship burgeoned out of nowhere then became more serious but they eventually separated all the same, destroying the friendship they had too."
We’d drive to Syd’s,"This is a nod to one of Frank’s good friends, Syd tha Kid, lead singer of the neo-RnB group The Internet and former member of Odd Future.

Syd and Taco’s house was the place where Odd Future members used to hang out. Frank relishes in the memories of simpler times and just messing around with his friends."
"Safe in my rental like an armored truck back then
 We didn’t give a fuck back then
 I ain’t a kid no more
 We’ll never be those kids again","Frank and the person he’s singing about have grown up and apart. Back when he was younger, Frank could go through life “armored” against the hurt. But now that he’s matured, he is feeling it all—the consequences of his actions, the hole left in his life by the absence of this lover. The mistakes we make as kids may not kill us in the moment, but we tend to pay for them later with regret and sorrow.

Like an armored truck, the emotional walls Frank put up when he was younger were hard to get past—he didn’t let this person fully in. While this made him safer, it may be the reason why their relationship ended.

Frank may also be referencing the now-dissolved group he was once a part of, Odd Future, which leads into the next line, referencing another former member Syd. The group’s leader, Tyler, the Creator had once called the group as “kids fucked up in their mental.”"
"If I could see through walls, I could see you’re faking
 If you could see my thoughts, you would see our faces","“Seeing through walls” means to see someone clearly for what they are—beyond the emotional barriers they may put up to prevent further heartache. The person Frank is addressing isn’t being true to themselves or their relationship with Frank. This leads Frank to fantasize about having them back in his life.

Frank juxtaposes the hidden feelings he and his lover are hiding behind physical and metaphorical emotional barriers. While his lover is static behind a  “wall” that seems to be permanently obscuring the truth, Frank’s own emotional barrier is dynamic and impermanent in nature. There also appears to be a contrast between how the person could be faking whereas Frank is almost hiding his feelings altogether, exhibiting that there is insecurity in this relationship."
"Had the X6 back then, back then","In a 2012 interview, Tyler, The Creator commented: “I remember Frank had a nice ass car and would always take us places.” It seems Frank’s car may have been the BMW X6 SUV crossover. The X6 premiered with its first model in 2009, so “back then” was at least that recent.



In his NYT profile, it’s revealed that Frank keeps at minimum 3 Beemers at the ready.

He rents three parking spots for three different BMWs.

In addition, he was having a “vintage 1990 BMW E30 sedan [be] rebuilt to his exact specifications,” much like the one featured on the cover of his mixtape nostalgia, ULTRA."
"No matter what I did, my waves wouldn’t dip back then
 Everything sucked back then, we were friends","Waves are a hairstyle formed by brushing and laying down the curls in the hair into a curl pattern. Wavers commonly refer to a nice wave pattern as dipping.



Frank uses “waves” to draw parallels of the pre-success and pre-loss-of-innocence period in his life with his current successful, morbidly real situation. Frank points out how simple things didn’t go his way back then, continuing the reflective theme of the song as Frank looks back on his younger, innocent days.

“Waves” are also an analogy to everything valuable to that person. Since a person can not force a “dip” – a successful relationship – in such a short amount of time, Frank expresses how his partner has lost hope."
"Say what up to Matthew, to Shoob
 Say what up to Danny","The names here are in reference to the characters from Frank’s “Godspeed Script” from page 51 of the Boys Don’t Cry magazine. In the script, Frank lists Steely (not named in this song) as the main protagonist, Shoobie (shortened to ‘Shoob’ in these lyrics) as his girlfriend, and Matthew/Danny (both also named in these lyrics) as Steely’s childhood friends."
[Intro],"The riff heard here is actually the same as one from Tyler the Creator’s 2011 track B.S.D.

it can be heard from 0:13-0:14

not sure if it’s coincidental but it was pretty cool to hear"
"It’s the same way you showed me
 Nod my head, don’t close my eyes
 Halfway on a slow move
 It’s the same way you showed me","Frank notes that this person taught him how to accept that he cannot impose his will upon the world. With their help, he learns to embrace the things he can’t control, including his love for this song’s muse. That’s also shown in the line “Nod my head, don’t close my eyes,” where he is taught to say yes to things more instead of being afraid of what you can’t control.

The lines “nod my head, don’t close my eyes / Halfway on a slow move” may also be references to cunnilingus. She showed him how she likes it, and to look at her instead of closing his eyes when he’s going down on her. It leads well into the next line about going south too. This is some subtle imagery tied back into the “Pink” part of the song’s title."
"Bending up my Nikes
 Running out of melpomene, nicotine
 Stealing granny cigs (Take it easy)","The Melpomene projects are located in New Orleans. Frank lived in NOLA until Hurricane Katrina hit in 2005 and moved to L.A shortly after.

“Bending up my Nikes” refers to the  toe-crease you get when you wear the same shoes regularly.



Interestingly, “Melpomene” was also originally the Greek muse of singing, eventually becoming the muse of Tragedy while “Nike” was the Greek goddess of strength speed and victory,  making a double meaning to bending the same way wings bend when the goddess is flying. Once again this shows a duality of life and victory with death and tragedy and also references the first song of the album ‘'Nikes’‘."
"Nosedive into flood lines
 Tall tower of milk crates
 It’s the same way you showed me
 Cannonball off the porch side
 Older kids trying off the rooves
 Just the same way you showed me (You showed)","Frank again references Hurricane Katrina and the flooding it caused, talking about how he witnessed people swimming in the flood waters, seemingly making the best out of the ungovernable. The “nose-dive” and “tall tower” create an exhilarating sense of climbing and jumping from a height. It was a moment in time where the world above was something to embrace, even though after that moment it’s all downhill from there.

Frank brings this back to the person he is singing about, the person who “showed him love,” creating another level of metaphor here for “diving in” to life, and to their relationship.

This is also a euphemism for doing cocaine. In the wake of tragedies such as Hurricane Katrina people often take refuge in taking “nose dives” into “lines” and “tall towers” of white. He’s learned to turn to cocaine in times of trouble just like his ex-girlfriend taught him.

This may call back to an interview that Frank did with Wax Poetics back in 2012 in which he talked about experiencing floods during his childhood:

All the houses in New Orleans are raised off the ground because of floods and shit. So it was like three feet of water. My cousins and I stacked up milk crates and were using it as a diving board into the floodwaters. We were doing that all day until one of my neighbors came out there on a little swamp-style boat, and grabbed a water moccasin out of the water and cut its head off against the fence."
"If you could fly, then you’d feel south
 Up north’s getting cold soon
 The way it is, we’re on land
 Still, I’m someone to hold true","These lines reference birds' instincts to migrate south before winter hits to avoid the cold weather. However, Frank is not a bird. He embraces his bonds to the Earth and connects his contentment with his sedentary lifestyle to his commitment to this person. Frank will keep his loved one warm.

Similarly to the lines that open the verse, these lyrics are referenced in the “Godspeed” screenplay included in Frank’s Boys Don’t Cry magazine. At the end of Scene 1:

Steely looks down at his feet, and there’s ice on the grass though it’s simmer. Steely pulls his head up to say ‘snow’ but doesn’t even make the beginning sounds of the word. A single ball of alloy, white and coated with ice, spins around them like a tether ball to its poll. Shoobie still mouthing the words to a song playing in her head. ‘If you could fly then you’d feel south, up north’s gettin’ cold soon…The way it is we’re on land — still I’m someone to hold true'.

Feeling “south” is also a way to say that things haven’t gone well. For example, if something goes “south,” it is not going well. However, the line is a bit of a paradox (perhaps intentionally). Saying that if you could “fly,” then you would not be happy. Not feeling content with “flying” could emphasize the lack of control we have over anything, a theme of the verse."
"Gimme something sweet
 Bitch, I might like immortality
 This is life, life immortality","Throughout the outro, Frank talks about moments when life was unburdened, and they lived without restraints. It’s a nostalgic view back on a part of his youth. These moments survive in his memories, and achieve a kind of immortality despite the time itself already having passed.

This resolves the tension that has been created throughout the verses and hooks. The love that Frank’s spoken of, just like life, will inevitably end because that IS life. But his lover gave him the gift of being able to accept that, of being able to enjoy the present and the past just for “how it was.” They’ve given him heaven on Earth, a feeling of what immortality means."
"That’s the way every day goes
 Every time we’ve no control
 If the sky is pink and white
 If the ground is black and yellow","These lines are referenced in Frank’s Boys Don’t Cry magazine, in his “Godspeed” screenplay (pages 50-55).  In the screenplay, Steely’s girlfriend Schoobie recites these lyrics:

Shoobie: (Bobbing her head to music that isn’t playing, she sings)
‘That’s the way every day goes, every time we’ve no control…’ (Page 51)

Color is a significant motif in Frank’s music, from the title of his 2012 album channel ORANGE to symbolistic songs like “Eyes Like Sky” and “Pink Matter.” He specifically mentions pink skies in “Sierra Leone.” Here, Frank expresses how we have no control over the color of the sky, it can be blue, or it can be pink and white.



The “black and yellow” ground calls to mind the image of the black asphalt and the yellow painted lines of the street.

This may also be connecting to Hurricane Katrina, which Frank alludes to in the second verse, in reference to an old proverb, “Red sky in the morning, sailors take warning”. He’s essentially using the notion that “we have no control” over the color of the sky as a way of coming to terms with what happened during the hurricane."
"Just the same way you showed me, showed me
 You showed me love
 Glory from above
 Regard, my dear
 It’s all downhill from here","Frank’s reached a high, but this is the pinnacle of their relationship—the pair can only go downhill. However, “downhill” could mean that their relationship will be easy from here. “Uphill” is going to be difficult/hard, and that the hard part is over and it’s all smooth sailing from here on.

Frank says, “Just the same way you showed me love,” recalling the situations in the verse where his lover showed him how to embrace things that weren’t controllable. Frank extrapolates this to include their relationship’s end.

Frank’s song “Golden Girl,” shares a similar story. Frank sings:

If we build a house in paradise, will we get to heaven still?
If we don’t have to live through hell just to get to heaven
I'mma stay right here, with you
Til the hurricane comes, ‘til the tsunami comes

In both situations, a moment of happiness is accompanied by the sense that the destruction of that happiness is inevitable.

Here, the affection Frank receives from his lover is perceived as “Glory from above,” or from God, but the feeling can’t last for mere mortals. Frank acknowledges this more explicitly in the outro, singing “This is life, life immortality.”"
"If you could die and come back to life
 Up for air from the swimming pool
 You’d kneel down to the dry land
 Kiss the earth that birthed you
 Gave you tools just to stay alive
 And make it out when the sun is ruined","Frank closes the second verse with an ode to his mother, describing the love between a mother and her child. She helped him through tough times (drowning in life’s complexities) and helped him get back on his feet (on dry land) with her advice and nurturing care (tools to stay alive). Women are often referred to as earths, hence “Mother Earth.”"
"Be yourself and know that that’s good enough
 Don’t try to be someone else
 Don’t try to be like someone else, don’t try to act like someone else
 Be yourself, be secure with yourself","The message is rich and simplistic in its nature. It seems obvious to say something like this, to say that you shouldn’t have to conform to anyone else’s standards but, like Frank, it is easier to say than to do. This is directly related to the letter he wrote to the world in 2012 about his infatuation with the same sex.



Individuality is something that we preach to ourselves constantly but sometimes struggle to stay afloat. It’s easy to pick up the blunt, or take a swig from the beer or take a drag from the cigarette. It’s easy to hide the fact that you were in love with someone you weren’t meant to fall in love with. Rosie is telling him (and through Frank, us too) that the only way to security in life is to simply, be yourself."
"Rely and trust upon your own decisions
 On your own beliefs
 You understand the things that I’ve taught you
 Not to drink alcohol, not to use drugs","Despite insisting that Frank “be himself” and “trust” his own decisions, she ironically wants him to act in a way that is consistent with society.  Here we see a generational paradox as on one hand the older generation is attempting to tell the younger to “be themselves” and yet is ordering them to conform."
[Skit: Rosie Watson],"This is Rosie Watson, the mother of one of Frank’s childhood friends. She’s known to leave voicemail messages that give advice or inspiration.

The voicemail is similar to “Not Just Money” on Frank’s debut album channel ORANGE, which Rosie also performed."
Do not get in the car with someone who is inebriated,"Rosie warns Frank not to get into a car with a drunk person at the wheel. In 2014, on average, 28 people died every day because of drunk drivers."
"Don’t use that cocaine or marijuana, because that stuff is highly addictive
 When people become weed-heads
 They become sluggish, lazy, stupid, and unconcerned
 Sluggish, lazy, stupid, and unconcerned
 That’s all marijuana does to you, okay? This is mom",These are old and well-known stereotypes of a marijuana user. Rosie tries to warn him while exaggerating the negative effects of weed. But she cares about him and wants what’s best for him.
"Many college students have gone to college and gotten hooked on drugs, marijuana, and alcohol
 Listen, stop trying to be somebody else
 Don’t try to be someone else","A study done by the Canadian Lung Association showed that a majority of teenagers who had began drinking or smoking did it because of the inclination to “blend in” with his or her surroundings. The same study found that 70% of teenagers who smoke and drink do it out of peer pressure, which is when a person’s friends influence that person’s behavior positively or in this case, negatively.

Rosie tells us it’s okay to be ourselves, no matter what happens. Trying alcohol and marijuana can be toxic for your health, and that if your friends do this and want you to do it with them, they aren’t really your friends."
"Watch my Jagger
 Might lose my jacket and hit a solo, one time","Frank is going so wild dancing that he is tempted to start singing.

The “one time” at the end is also a nice transition into the next few lines. “One time” is slang for police. The party Frank is at is so raucous that the authorities are now arriving to break it up."
"By myself, gone off tabs of that acid","This second line serves as irony and contradicts everything referred to in the previous track.

This line and the overall theme of the track presents Frank’s opinion and stance on the phone call that his friend received on “Be Yourself”."
"We too loud in public, them police turned down the function
 Now we outside and the timing’s perfect
 Forgot to tell you
 Gotta tell you how much I vibe with you
 And we don’t gotta be solo","In this set of lyrics, Frank paints us a vivid picture of him confessing his feelings for a person during a perfect window of calm after the police shut down a party he was at. At this point he seems to be yearning for a relationship rather than glorifying the single life as he seems to during other parts of the song.

This is one of the many times Frank masterfully uses the Solo/So Low double entendre: “we don’t gotta be solo” as in alone and without each other; as well as, “we don’t gotta be so low” as in, open with our feelings/sexuality without hiding it any longer."
"Bones feeling dense as fuck, wish a nigga would cross
 And catch a solo, on time","Frank is feeling unbreakable, down to his bones. Aching to use his power (but not wanting to start shit), he wishes someone would cross him so he could knock them out in one “solo” punch."
"I’m skipping showers and switching socks, sleeping good and long","Because Frank is running on his own without a partner, he is able to forgo typical social expectations for cleanliness. Typically, Frank would care more about avoiding doing these things, but by being solo he has no one to impress.

The line could also be interpreted as an allusion to feeling depressed, a typical effect of a break up. Ocean cares less about his hygiene, to the extent, he even repeats outfits for the most part, if he even goes out at all. By sleeping hard and long, this implies Ocean hasn’t been doing much else."
"White leaf on my boxers, green leaf turn to vapors for the low
 And that mean cheap, ’cause ain’t shit free and I know it
 Even love ain’t, ’cause this nut cost, that clinic killed my soul
 But you gotta hit the pussy raw, though","Frank juxtaposes the cost of the affordable “green leaf,” or marijuana, to going to an abortion clinic after going in “raw,” or having sex without a condom. As Frank says, the cost of abortion is high, both in terms of your pocketbook and your soul."
There’s a bull and a matador dueling in the sky,"Only one (the bull or the matador) can survive and the loser falls from heaven. Animals are generally considered to lack moral sense, so this is not a mere instance of Manichean good and evil: there is no “correct” decision, no morally acceptable side to align himself with. Still, smoking weed elevates Frank to heaven, but he’ll eventually come down from his high. As such, he  is in limbo, teetering in his appraisal of the situation, unsure if he should take his Mom’s advice or inhale for a temporary ride to heaven, or at least a temporary absence from his down feelings and loneliness."
"Solo (Solo), solo (Solo)
 S-solo (Solo), s-solo (Solo)","The common themes in “Solo” as well as “Solo (Reprise)” are feeling alone when facing life’s problems and inevitably falling to low points in one’s life.

The word “solo” represents both of these themes in a clever double entendre, referring to “going solo” as struggling to face these troubles by himself, or  “going solo/so low” at this point in his life by resorting to drugs and ignoring his mother’s advice to keep his problems at bay.

Also, the arrangement for this song is just Frank and an organ, as if he was playing a solo or just reminds you of the “solo” organ."
"Now stay away from highways
 My eyes like them red lights
 Right now, I prefer yellow
 Redbone, so mellow
 Fuck ’round, be cutting you
 Think we were better off solo","“Yellow” and"" redbone"" are slang for a light-skinned black person and “cutting” means sex.

While “highways” and “red lights” refer to drug use—something Frank’s aunt warns against on “Be Yourself,” they may also refer to the fast-paced lifestyle that often accompanies fame. Red eyes are a common side effect of smoking marijuana and/or lack of sleep.

Yellow lights tend to indicate slowing down or using caution on the road. Similarly, Frank uses the yellow light metaphor to express that right now, he just wants to take things slow.

The use of yellow is also likely a reference to his sexuality. Knowing that the blond/blonde theme, is a metaphor for Frank’s bisexuality, he is technically in-between being gay and straight, similar to how a yellow light is in-between red and green.

Connecting this phrase to the previous, Frank gives us a sort of narrative. After confessing his feelings outside the party, Frank and this person begin a relationship. Frank can’t handle being in a relationship because of his drug use and lust, so he ends up fucking around (cheating) on them. Ultimately, in a sad echo of his proclamation at the end of the previous phrase, Frank breaks things off, saying they were better off solo."
"It’s hell on Earth and the city’s on fire
 Inhale, in hell, there’s heaven","Frank is commenting on the current tumultuous and chaotic state of the world. When he smokes, he reaches “heaven,” a happier place that is free of everyday problems.

“Inhale” is a play on “in hell,” which is ironic considering the weed’s feelings of “heaven.” Frank also juxtaposes getting high to opiate his feeling of “so low.”

Furthermore, this continues the theme of choosing between the traditional definitions of heaven and hell. Typically, smoking marijuana would be associated with Hell, but to Frank it is heaven. Within the traditional concept of “Hell” lies Frank’s “Heaven.” Another example in Frank’s music of duality would be his frequently addressing his own bisexuality.

Frank could also be discussing the inherent duality of life. That things are seldom so cut and dry that anything is purely evil or purely good. Even in the worst situations there is good, even “in hell there’s heaven”."
Because I’m stronger and the Congo is dim,The Congo dimming and slowly beginning to die away may represent Frank as he has begun to detach himself from his need for a partner and found satisfaction in his independence.
"Got your metal on (Ooh), we’re alone
 Making sweet love, takin’ time
 ’Til God strikes us","Since metal is a material that is “typically hard,” Frank makes a play on the phrase, “Get your hard on.”  This phrase is slang for obtaining an erection.

Frank paints an intimate love scene, but he contrasts the aura with the reminder that The Bible depicts God as being anti-homosexuality.  Leviticus 20:13 reads:

If a man has sexual relations with a man as one does with a woman, both of them have done what is detestable. They are to be put to death; their blood will be on their own heads."
"Wanna get soaked?
 Wanna film a tape on a speed boat?
 We smell of Californication (Strike a pose)","Frank wants to film a sex tape. Pamela Anderson and Tommy Lee’s sextape was stolen from their home in 1995. The tape was filmed on a boat during their honeymoon.



“Californication” is a song by the Red Hot Chili Peppers and a portmanteau on “California” and “fornication.” Given the lyrics throughout this song, it’s likely Frank had sex on a beach in California."
"Everything grows in the Congo
 Everything grows (Ooh)
 Can you come when I call again?","The Democratic Republic of Congo is one of Africa’s biggest producers of cannabis. As a result, significant trafficking occurs to neighbouring countries, including Rwanda, Uganda, Congo and Angola.. The Congo is also home to natural resources needed for cell phones, laptops, and much more.

The Congo may symbolize Frank’s heart and vulnerability– when he meets someone new he begins to become attached quickly and can’t separate his rationality from his emotions, holding him back from growing individually."
"In comes the morning, haunting us with the beams
 Solstice ain’t as far as it used to be","Frank uses the transition from night to day as a way of closing the intimate and beautiful moment he shared with his lover during the night. “Haunting us with the beams” refers to the sun’s rays the next morning—Frank finds it frightening his wonderful night has ended.

The summer solstice occurs each June when the sun is at the highest point in the sky, and thus the furthest from wherever Frank is standing on Earth. The line calls attention to the memories of summers past, when the sun was further away, and the diminishing return of each summer as Frank ages."
"It begins to blur, we get older (Blur, hey)
 Summer’s not as long as it used to be
 Everyday counts like crazy (Smoke, haze, wait)","Expressing a very common sentiment amongst people as they age, namely that time seems to go by faster the older you get.

As a kid everyone can probably remember their summer vacations from school seeming to be almost endless, but as you grow the summer, and often entire years, seem to fly by in the blink of an eye.

There is a lot of thought and study that has gone into this phenomenon. One idea is that, when you’re younger, you experience more “first’s” in your life, and this higher concentration of new experiences makes this time more memorable and seem more significant in hindsight.

Another is the simple fact that, as you get older, each passing year represents a smaller proportion of your cumulative time on earth so far and, as such, feels shorter and less significant.

Regardless of the reasons though, the message is clear. Life is short and time flies, so enjoy every day. Carpe Diem!"
"This is joy, this is summer
 Keep alive, stay alive","While summer typically evokes connotations of happy times, the warmest season has a history of being America’s most deadly due to gun violence.

Frank spent most of his pre-fame years in New Orleans, Louisiana before moving to Los Angeles, California."
"Pretty fuckin’, underneath moonlight now
 Pretty fuckin’, sunrise in sight","“Pretty fucking” is repeated, and can be understood in two different ways. First as an adverbial phrase—Frank may have chosen the line to better describe the “pretty fucking moonlight,” and then as a standalone phrase—having sex under the moonlight."
"The deer run across, kill the headlights","Deer often run across highways, freezing in place when they see car headlights and thus causing vehicular accidents. Turning off the headlights would help prevent this potentially lethal collision.



Frank’s word choice is ironic – “killing” the headlights will prevent the driver and/or deer from being killed in a crash."
